size,rep,arg1,function,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses
16,1,16,L23,43916805454,12759512308,0.290538,0.235605,3.006199,0.000003,44866,13765977066
32,1,16,L23,39984700972,11533677711,0.288452,0.236183,2.724060,0.000003,37413,13034485329
64,1,16,L23,38017756535,10895801026,0.286598,0.235338,2.564200,0.000002,26182,12455121132
128,1,16,L23,37034311384,10613819220,0.286594,0.236294,2.507987,0.000002,20951,12127068168
256,1,16,L23,36542858786,10671080400,0.292015,0.236254,2.521082,0.000002,23696,11963347865
512,1,16,L23,36299087322,10374176717,0.285797,0.237289,2.461680,0.000002,27728,11881918939
1024,1,16,L23,36175978971,10997975651,0.304013,0.237587,2.612973,0.000002,24295,12162988266
2048,1,16,L23,36114908165,10442900979,0.289158,0.233726,2.440782,0.000004,50272,11898157710
4096,1,16,L23,36084865015,10388976317,0.287904,0.237007,2.462264,0.000141,1674243,11850127841
8192,1,16,L23,36068773021,10500149587,0.291115,0.236475,2.483023,0.003111,37041216,11907771479
16384,1,16,L23,36061144963,10648412501,0.295288,0.236652,2.519969,0.052251,653441145,12505719229
32768,1,16,L23,36057741059,10588185580,0.293645,0.235901,2.497764,0.052566,655884048,12477460202
65536,1,16,L23,36055364234,10600578404,0.294008,0.236031,2.502070,0.052532,655912857,12486020939
131072,1,16,L23,36054716941,10687732953,0.296431,0.233716,2.497897,0.052505,656821986,12509701207
262144,1,16,L23,36054766147,10792203564,0.299328,0.233715,2.522300,0.052399,656541706,12529734062
524288,1,16,L23,36055760169,10925890051,0.303028,0.233720,2.553594,0.052383,656754387,12537532633
